player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Haris Tabakovic,Borussia M.Gladbach,6,2,8,61.5,46.2,15.4,9
Harry Kane,Bayern Munich,13,3,16,45.7,37.1,8.6,10
Mohammed Amoura,Wolfsburg,4,1,5,41.7,33.3,8.3,10
Nadiem Amiri,Mainz 05,3,1,4,40.0,30.0,10.0,10
Serhou Guirassy,Borussia Dortmund,5,1,6,37.5,31.2,6.2,9
Fabian Rieder,Augsburg,3,2,5,35.7,21.4,14.3,8
Christoph Baumgartner,RasenBallsport Leipzig,5,2,7,35.0,25.0,10.0,10
Rômulo,RasenBallsport Leipzig,4,3,7,35.0,20.0,15.0,10
Can Uzun,Eintracht Frankfurt,5,3,8,34.8,21.7,13.0,9
Fisnik Asllani,Hoffenheim,5,2,7,33.3,23.8,9.5,10
Rayan Philippe,Hamburger SV,3,0,3,33.3,33.3,0.0,10
Andréas Hountondji,St. Pauli,3,0,3,33.3,33.3,0.0,9
Danel Sinani,St. Pauli,2,1,3,33.3,22.2,11.1,10
Danilho Doekhi,Union Berlin,4,0,4,30.8,30.8,0.0,10
Ilyas Ansah,Union Berlin,4,0,4,30.8,30.8,0.0,10
Vincenzo Grifo,Freiburg,3,1,4,30.8,23.1,7.7,10
Andrej Ilic,Union Berlin,0,4,4,30.8,0.0,30.8,9
Jakub Kaminski,FC Cologne,4,1,5,29.4,23.5,5.9,10
Said El Mala,FC Cologne,4,1,5,29.4,23.5,5.9,10
Marius Bülter,FC Cologne,2,3,5,29.4,11.8,17.6,8
Álex Grimaldo,Bayer Leverkusen,4,3,7,29.2,16.7,12.5,9
Luis Díaz,Bayern Munich,6,4,10,28.6,17.1,11.4,10
Andrej Kramaric,Hoffenheim,3,3,6,28.6,14.3,14.3,10
Mert Kömür,Augsburg,2,2,4,28.6,14.3,14.3,9
Jens Stage,Werder Bremen,4,0,4,26.7,26.7,0.0,8
Samuel Mbangula,Werder Bremen,3,1,4,26.7,20.0,6.7,9
Romano Schmid,Werder Bremen,2,2,4,26.7,13.3,13.3,10
Jonathan Burkardt,Eintracht Frankfurt,6,0,6,26.1,26.1,0.0,9
Ritsu Doan,Eintracht Frankfurt,3,3,6,26.1,13.0,13.0,10
Farès Chaïbi,Eintracht Frankfurt,1,5,6,26.1,4.3,21.7,9
Patrik Schick,Bayer Leverkusen,5,1,6,25.0,20.8,4.2,8
Ernest Poku,Bayer Leverkusen,4,2,6,25.0,16.7,8.3,9
Yan Diomande,RasenBallsport Leipzig,3,2,5,25.0,15.0,10.0,10
Julian Brandt,Borussia Dortmund,2,2,4,25.0,12.5,12.5,8
Mattias Svanberg,Wolfsburg,2,1,3,25.0,16.7,8.3,9
Stefan Schimmer,FC Heidenheim,2,0,2,25.0,25.0,0.0,5
Assan Ouédraogo,RasenBallsport Leipzig,2,3,5,25.0,10.0,15.0,10
Maximilian Arnold,Wolfsburg,1,2,3,25.0,8.3,16.7,9
Jonas Föhrenbach,FC Heidenheim,1,1,2,25.0,12.5,12.5,10
Mikkel Kaufmann,FC Heidenheim,1,1,2,25.0,12.5,12.5,7
Sirlord Conteh,FC Heidenheim,1,1,2,25.0,12.5,12.5,4
Grischa Prömel,Hoffenheim,4,1,5,23.8,19.0,4.8,10
Tim Lemperle,Hoffenheim,4,1,5,23.8,19.0,4.8,9
Vladimir Coufal,Hoffenheim,1,4,5,23.8,4.8,19.0,10
Ermedin Demirovic,VfB Stuttgart,3,1,4,23.5,17.6,5.9,6
Bilal El Khannouss,VfB Stuttgart,2,2,4,23.5,11.8,11.8,8
Angelo Stiller,VfB Stuttgart,1,3,4,23.5,5.9,17.6,10
Oliver Burke,Union Berlin,3,0,3,23.1,23.1,0.0,9
Jean-Luc Dompe,Hamburger SV,2,0,2,22.2,22.2,0.0,9
Albert Sambi Lokonga,Hamburger SV,2,0,2,22.2,22.2,0.0,7
Miro Muheim,Hamburger SV,0,2,2,22.2,0.0,22.2,10
Serge Gnabry,Bayern Munich,4,3,7,20.0,11.4,8.6,9
Michael Olise,Bayern Munich,4,3,7,20.0,11.4,8.6,10
Armindo Sieb,Mainz 05,2,0,2,20.0,20.0,0.0,10
Marco Grüll,Werder Bremen,2,1,3,20.0,13.3,6.7,10
Kaishu Sano,Mainz 05,1,1,2,20.0,10.0,10.0,10
Yukinari Sugawara,Werder Bremen,0,3,3,20.0,0.0,20.0,9
Wouter Burger,Hoffenheim,2,2,4,19.0,9.5,9.5,9
Bazoumana Touré,Hoffenheim,1,3,4,19.0,4.8,14.3,10
Maximilian Beier,Borussia Dortmund,2,1,3,18.8,12.5,6.2,9
Karim Adeyemi,Borussia Dortmund,2,1,3,18.8,12.5,6.2,10
Julian Ryerson,Borussia Dortmund,0,3,3,18.8,0.0,18.8,9
Tiago Tomás,VfB Stuttgart,3,0,3,17.6,17.6,0.0,10
Deniz Undav,VfB Stuttgart,3,0,3,17.6,17.6,0.0,6
Gian-Luca Waldschmidt,FC Cologne,2,1,3,17.6,11.8,5.9,6
Maximilian Mittelstädt,VfB Stuttgart,2,1,3,17.6,11.8,5.9,9
Jan Thielmann,FC Cologne,2,1,3,17.6,11.8,5.9,7
Ragnar Ache,FC Cologne,1,2,3,17.6,5.9,11.8,10
Jamie Leweling,VfB Stuttgart,0,3,3,17.6,0.0,17.6,9
Edmond Tapsoba,Bayer Leverkusen,2,2,4,16.7,8.3,8.3,10
Adam Daghim,Wolfsburg,2,0,2,16.7,16.7,0.0,8
Lovro Majer,Wolfsburg,1,1,2,16.7,8.3,8.3,8
Sael Kumbedi,Wolfsburg,0,2,2,16.7,0.0,16.7,4
Maximilian Eggestein,Freiburg,2,0,2,15.4,15.4,0.0,10
Derry Scherhant,Freiburg,2,0,2,15.4,15.4,0.0,9
Igor Matanovic,Freiburg,2,0,2,15.4,15.4,0.0,8
Lukas Kübler,Freiburg,1,1,2,15.4,7.7,7.7,8
Yannick Engelhardt,Borussia M.Gladbach,1,1,2,15.4,7.7,7.7,8
Junior Adamu,Freiburg,1,1,2,15.4,7.7,7.7,8
Franck Honorat,Borussia M.Gladbach,0,2,2,15.4,0.0,15.4,7
Joe Scally,Borussia M.Gladbach,0,2,2,15.4,0.0,15.4,9
Han-Noah Massengo,Augsburg,1,1,2,14.3,7.1,7.1,10
Chrislain Matsima,Augsburg,1,1,2,14.3,7.1,7.1,10
Kristijan Jakic,Augsburg,1,1,2,14.3,7.1,7.1,8
Robin Fellhauer,Augsburg,1,1,2,14.3,7.1,7.1,10
