Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2122,Augsburg,1,2021-08-14,Hoffenheim,H,L,0,4,0,3.0,-3.0,-3.0
2122,Augsburg,2,2021-08-21,Ein Frankfurt,A,D,0,0,1,0.0,1.0,-2.0
2122,Augsburg,3,2021-08-28,Leverkusen,H,L,1,4,0,1.0,-1.0,-3.0
2122,Augsburg,4,2021-09-11,Union Berlin,A,D,0,0,1,3.0,-2.0,-5.0
2122,Augsburg,5,2021-09-18,M'gladbach,H,W,1,0,3,3.0,0.0,-5.0
2122,Augsburg,6,2021-09-26,Freiburg,A,L,3,0,0,0.0,0.0,-5.0
2122,Augsburg,7,2021-10-02,Dortmund,A,L,2,1,0,0.0,0.0,-5.0
2122,Augsburg,8,2021-10-17,Bielefeld,H,D,1,1,1,1.0,0.0,-5.0
2122,Augsburg,9,2021-10-22,Mainz,A,L,4,1,0,3.0,-3.0,-8.0
2122,Augsburg,10,2021-10-31,Stuttgart,H,W,4,1,3,0.0,3.0,-5.0
2122,Augsburg,11,2021-11-06,Wolfsburg,A,L,1,0,0,1.0,-1.0,-6.0
2122,Augsburg,12,2021-11-19,Bayern Munich,H,W,2,1,3,0.0,3.0,-3.0
2122,Augsburg,13,2021-11-27,Hertha,A,D,1,1,1,0.0,1.0,-2.0
2122,Augsburg,14,2021-12-10,FC Koln,A,W,0,2,3,3.0,0.0,-2.0
2122,Augsburg,15,2021-12-15,RB Leipzig,H,D,1,1,1,0.0,1.0,-1.0
2122,Augsburg,16,2022-01-08,Hoffenheim,A,L,3,1,0,0.0,0.0,-1.0
2122,Augsburg,17,2022-01-16,Ein Frankfurt,H,D,1,1,1,0.0,1.0,0.0
2122,Augsburg,18,2022-01-22,Leverkusen,A,L,5,1,0,0.0,0.0,0.0
2122,Augsburg,19,2022-02-05,Union Berlin,H,W,2,0,3,3.0,0.0,0.0
2122,Augsburg,20,2022-02-12,M'gladbach,A,L,3,2,0,1.0,-1.0,-1.0
2122,Augsburg,21,2022-02-19,Freiburg,H,L,1,2,0,1.0,-1.0,-2.0
2122,Augsburg,22,2022-02-27,Dortmund,H,D,1,1,1,3.0,-2.0,-4.0
2122,Augsburg,23,2022-03-04,Bielefeld,A,W,0,1,3,3.0,0.0,-4.0
