player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Gerard Moreno,Villarreal,23,7,30,50.0,38.3,11.7,33,2021
Iago Aspas,Celta Vigo,14,13,27,49.1,25.5,23.6,33,2021
Kike García,Eibar,12,2,14,48.3,41.4,6.9,37,2021
Karim Benzema,Real Madrid,23,9,32,47.8,34.3,13.4,34,2021
Lionel Messi,Barcelona,30,9,39,45.9,35.3,10.6,35,2021
Rafa Mir,SD Huesca,13,1,14,41.2,38.2,2.9,38,2021
Joselu,Alaves,11,3,14,38.9,30.6,8.3,37,2021
Carlos Soler,Valencia,11,8,19,38.0,22.0,16.0,32,2021
Morales,Levante,14,3,17,37.0,30.4,6.5,38,2021
Luis Suárez,Atletico Madrid,21,3,24,35.8,31.3,4.5,32,2021
Roger,Levante,12,4,16,34.8,26.1,8.7,33,2021
Marcos Llorente,Atletico Madrid,12,11,23,34.3,17.9,16.4,37,2021
Youssef En-Nesyri,Sevilla,18,0,18,34.0,34.0,0.0,38,2021
Álvaro Negredo,Cadiz,8,4,12,33.3,22.2,11.1,35,2021
Mikel Oyarzabal,Real Sociedad,11,8,19,32.2,18.6,13.6,33,2021
Alexander Isak,Real Sociedad,16,2,18,30.5,27.1,3.4,34,2021
Ante Budimir,Osasuna,11,0,11,29.7,29.7,0.0,30,2021
Óscar Plano,Real Valladolid,5,5,10,29.4,14.7,14.7,36,2021
Jorge De Frutos,Levante,4,9,13,28.3,8.7,19.6,37,2021
Sergio Canales,Real Betis,8,6,14,28.0,16.0,12.0,31,2021
Santi Mina,Celta Vigo,12,3,15,27.3,21.8,5.5,34,2021
Lucas Boyé,Elche,7,2,9,26.5,20.6,5.9,34,2021
Fidel,Elche,6,3,9,26.5,17.6,8.8,30,2021
Alex Berenguer,Athletic Club,8,4,12,26.1,17.4,8.7,35,2021
Iñaki Williams,Athletic Club,6,6,12,26.1,13.0,13.0,38,2021
Ángel Correa,Atletico Madrid,9,8,17,25.4,13.4,11.9,38,2021
Yannick Carrasco,Atletico Madrid,6,10,16,23.9,9.0,14.9,30,2021
Antoine Griezmann,Barcelona,13,7,20,23.5,15.3,8.2,36,2021
Fabián Orellana,Real Valladolid,6,2,8,23.5,17.6,5.9,30,2021
Lucas Pérez,Alaves,4,4,8,22.2,11.1,11.1,28,2021
Borja Iglesias,Real Betis,11,0,11,22.0,22.0,0.0,28,2021
Nolito,Celta Vigo,7,5,12,21.8,12.7,9.1,36,2021
Roberto Torres,Osasuna,7,1,8,21.6,18.9,2.7,35,2021
Rubén García,Osasuna,3,5,8,21.6,8.1,13.5,37,2021
Enes Ünal,Getafe,4,2,6,21.4,14.3,7.1,28,2021
Jorge Molina,Granada,8,2,10,21.3,17.0,4.3,33,2021
Sandro Ramírez,SD Huesca,6,1,7,20.6,17.6,2.9,20,2021
Shon Weissman,Real Valladolid,6,1,7,20.6,17.6,2.9,32,2021
Pere Milla,Elche,4,3,7,20.6,11.8,8.8,32,2021
Tete Morente,Elche,2,5,7,20.6,5.9,14.7,30,2021
