Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2122,Alaves,1,2021-08-14,Real Madrid,H,L,1,4,0,0.0,0.0,0.0
2122,Alaves,2,2021-08-27,Valencia,A,L,3,0,0,1.0,-1.0,-1.0
2122,Alaves,3,2021-09-18,Osasuna,H,L,0,2,0,0.0,0.0,-1.0
2122,Alaves,4,2021-09-25,Ath Madrid,H,W,1,0,3,0.0,3.0,2.0
2122,Alaves,5,2021-10-01,Ath Bilbao,A,L,1,0,0,1.0,-1.0,1.0
2122,Alaves,6,2021-10-18,Betis,H,L,0,1,0,0.0,0.0,1.0
2122,Alaves,7,2021-10-23,Cadiz,A,W,0,2,3,0.0,3.0,4.0
2122,Alaves,8,2021-10-26,Elche,H,W,1,0,3,0.0,3.0,7.0
2122,Alaves,9,2021-10-30,Barcelona,A,D,1,1,1,0.0,1.0,8.0
2122,Alaves,10,2021-11-06,Levante,H,W,2,1,3,1.0,2.0,10.0
2122,Alaves,11,2021-11-20,Sevilla,A,D,2,2,1,0.0,1.0,11.0
2122,Alaves,12,2021-11-27,Celta,H,L,1,2,0,0.0,0.0,11.0
2122,Alaves,13,2021-12-03,Granada,A,L,2,1,0,0.0,0.0,11.0
2122,Alaves,14,2021-12-11,Getafe,H,D,1,1,1,1.0,0.0,11.0
2122,Alaves,15,2021-12-21,Villarreal,A,L,5,2,0,0.0,0.0,11.0
2122,Alaves,16,2022-01-02,Sociedad,H,D,1,1,1,1.0,0.0,11.0
2122,Alaves,17,2022-01-09,Ath Bilbao,H,D,0,0,1,3.0,-2.0,9.0
2122,Alaves,18,2022-01-18,Betis,A,L,4,0,0,0.0,0.0,9.0
2122,Alaves,19,2022-01-23,Barcelona,H,L,0,1,0,1.0,-1.0,8.0
2122,Alaves,20,2022-02-05,Elche,A,L,3,1,0,3.0,-3.0,5.0
2122,Alaves,21,2022-02-13,Valencia,H,W,2,1,3,1.0,2.0,7.0
2122,Alaves,22,2022-02-19,Real Madrid,A,L,3,0,0,3.0,-3.0,4.0
2122,Alaves,23,2022-02-26,Getafe,A,D,2,2,1,1.0,0.0,4.0
2122,Alaves,24,2022-03-04,Sevilla,H,D,0,0,1,0.0,1.0,5.0
2122,Alaves,25,2022-03-13,Sociedad,A,L,1,0,0,0.0,0.0,5.0
2122,Alaves,26,2022-03-19,Granada,H,L,2,3,0,3.0,-3.0,2.0
2122,Alaves,27,2022-04-02,Ath Madrid,A,L,4,1,0,0.0,0.0,2.0
2122,Alaves,28,2022-04-10,Osasuna,A,L,1,0,0,1.0,-1.0,1.0
2122,Alaves,29,2022-04-30,Villarreal,H,W,2,1,3,3.0,0.0,1.0
2122,Alaves,30,2022-05-07,Celta,A,L,4,0,0,0.0,0.0,1.0
2122,Alaves,31,2022-05-15,Levante,A,L,3,1,0,1.0,-1.0,0.0
2122,Alaves,32,2022-05-22,Cadiz,H,L,0,1,0,1.0,-1.0,-1.0
2122,Ath Bilbao,1,2021-08-16,Elche,A,D,0,0,1,0.0,1.0,1.0
2122,Ath Bilbao,2,2021-08-21,Barcelona,H,D,1,1,1,0.0,1.0,2.0
2122,Ath Bilbao,3,2021-08-28,Celta,A,W,0,1,3,1.0,2.0,4.0
2122,Ath Bilbao,4,2021-09-18,Ath Madrid,A,D,0,0,1,0.0,1.0,5.0
2122,Ath Bilbao,5,2021-09-25,Valencia,A,D,1,1,1,1.0,0.0,5.0
2122,Ath Bilbao,6,2021-10-01,Alaves,H,W,1,0,3,1.0,2.0,7.0
2122,Ath Bilbao,7,2021-10-23,Villarreal,H,W,2,1,3,1.0,2.0,9.0
2122,Ath Bilbao,8,2021-10-31,Sociedad,A,D,1,1,1,1.0,0.0,9.0
2122,Ath Bilbao,9,2021-11-05,Cadiz,H,L,0,1,0,0.0,0.0,9.0
2122,Ath Bilbao,10,2021-11-19,Levante,A,D,0,0,1,1.0,0.0,9.0
2122,Ath Bilbao,11,2021-11-26,Granada,H,D,2,2,1,3.0,-2.0,7.0
2122,Ath Bilbao,12,2021-12-01,Real Madrid,A,L,1,0,0,0.0,0.0,7.0
2122,Ath Bilbao,13,2021-12-06,Getafe,A,D,0,0,1,1.0,0.0,7.0
2122,Ath Bilbao,14,2021-12-11,Sevilla,H,L,0,1,0,3.0,-3.0,4.0
2122,Ath Bilbao,15,2021-12-19,Betis,H,W,3,2,3,3.0,0.0,4.0
2122,Ath Bilbao,16,2021-12-22,Real Madrid,H,L,1,2,0,0.0,0.0,4.0
2122,Ath Bilbao,17,2022-01-03,Osasuna,A,W,1,3,3,0.0,3.0,7.0
2122,Ath Bilbao,18,2022-01-09,Alaves,A,D,0,0,1,0.0,1.0,8.0
2122,Ath Bilbao,19,2022-02-20,Sociedad,H,W,4,0,3,0.0,3.0,11.0
2122,Ath Bilbao,20,2022-02-27,Barcelona,A,L,4,0,0,0.0,0.0,11.0
2122,Ath Bilbao,21,2022-03-07,Levante,H,W,3,1,3,3.0,0.0,11.0
2122,Ath Bilbao,22,2022-03-13,Betis,A,L,1,0,0,1.0,-1.0,10.0
2122,Ath Bilbao,23,2022-03-18,Getafe,H,D,1,1,1,3.0,-2.0,8.0
2122,Ath Bilbao,24,2022-04-03,Elche,H,W,2,1,3,3.0,0.0,8.0
2122,Ath Bilbao,25,2022-04-09,Villarreal,A,D,1,1,1,1.0,0.0,8.0
2122,Ath Bilbao,26,2022-04-17,Celta,H,L,0,2,0,0.0,0.0,8.0
2122,Ath Bilbao,27,2022-04-21,Cadiz,A,W,2,3,3,3.0,0.0,8.0
2122,Ath Bilbao,28,2022-04-30,Ath Madrid,H,W,2,0,3,3.0,0.0,8.0
2122,Ath Bilbao,29,2022-05-07,Valencia,H,D,0,0,1,1.0,0.0,8.0
2122,Ath Bilbao,30,2022-05-10,Granada,A,L,1,0,0,0.0,0.0,8.0
2122,Ath Bilbao,31,2022-05-15,Osasuna,H,W,2,0,3,1.0,2.0,10.0
2122,Ath Bilbao,32,2022-05-22,Sevilla,A,L,1,0,0,3.0,-3.0,7.0
2122,Ath Madrid,1,2021-08-15,Celta,A,W,1,2,3,3.0,0.0,0.0
2122,Ath Madrid,2,2021-08-22,Elche,H,W,1,0,3,3.0,0.0,0.0
2122,Ath Madrid,3,2021-08-29,Villarreal,H,D,2,2,1,1.0,0.0,0.0
2122,Ath Madrid,4,2021-09-18,Ath Bilbao,H,D,0,0,1,3.0,-2.0,-2.0
2122,Ath Madrid,5,2021-09-21,Getafe,A,W,1,2,3,1.0,2.0,0.0
2122,Ath Madrid,6,2021-09-25,Alaves,A,L,1,0,0,3.0,-3.0,-3.0
2122,Ath Madrid,7,2021-10-02,Barcelona,H,W,2,0,3,3.0,0.0,-3.0
2122,Ath Madrid,8,2021-10-24,Sociedad,H,D,2,2,1,3.0,-2.0,-5.0
2122,Ath Madrid,9,2021-10-28,Levante,A,D,2,2,1,1.0,0.0,-5.0
2122,Ath Madrid,10,2021-10-31,Betis,H,W,3,0,3,3.0,0.0,-5.0
2122,Ath Madrid,11,2021-11-07,Valencia,A,D,3,3,1,3.0,-2.0,-7.0
2122,Ath Madrid,12,2021-11-20,Osasuna,H,W,1,0,3,3.0,0.0,-7.0
2122,Ath Madrid,13,2021-11-28,Cadiz,A,W,1,4,3,3.0,0.0,-7.0
2122,Ath Madrid,14,2021-12-12,Real Madrid,A,L,2,0,0,0.0,0.0,-7.0
2122,Ath Madrid,15,2021-12-18,Sevilla,A,L,2,1,0,0.0,0.0,-7.0
2122,Ath Madrid,16,2021-12-22,Granada,A,L,2,1,0,3.0,-3.0,-10.0
2122,Ath Madrid,17,2022-01-09,Villarreal,A,D,2,2,1,3.0,-2.0,-12.0
2122,Ath Madrid,18,2022-01-22,Valencia,H,W,3,2,3,3.0,0.0,-12.0
2122,Ath Madrid,19,2022-02-06,Barcelona,A,L,4,2,0,1.0,-1.0,-13.0
2122,Ath Madrid,20,2022-02-12,Getafe,H,W,4,3,3,3.0,0.0,-13.0
2122,Ath Madrid,21,2022-02-16,Levante,H,L,0,1,0,0.0,0.0,-13.0
2122,Ath Madrid,22,2022-02-19,Osasuna,A,W,0,3,3,3.0,0.0,-13.0
