player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Lassine Sinayoko,Auxerre,3,1,4,57.1,42.9,14.3,12
Ilan Kebbal,Paris FC,5,4,9,50.0,27.8,22.2,12
Gauthier Hein,Metz,4,2,6,50.0,33.3,16.7,10
Romain Del Castillo,Brest,4,2,6,42.9,28.6,14.3,11
Sofiane Diop,Nice,6,1,7,41.2,35.3,5.9,12
Mason Greenwood,Marseille,8,3,11,39.3,28.6,10.7,11
Issa Soumaré,Le Havre,3,2,5,38.5,23.1,15.4,12
Joaquín Panichelli,Strasbourg,9,0,9,37.5,37.5,0.0,12
Matthis Abline,Nantes,2,2,4,36.4,18.2,18.2,12
Wesley Said,Lens,5,2,7,33.3,23.8,9.5,12
Habib Diallo,Metz,3,1,4,33.3,25.0,8.3,9
Felix Correia,Lille,3,4,7,30.4,13.0,17.4,12
Sidiki Chérif,Angers,3,0,3,30.0,30.0,0.0,12
Prosper Peter,Angers,3,0,3,30.0,30.0,0.0,10
Vitinha,Paris Saint Germain,1,6,7,29.2,4.2,25.0,11
Odsonne Edouard,Lens,5,1,6,28.6,23.8,4.8,9
Pablo Pagis,Lorient,4,0,4,28.6,28.6,0.0,9
Sambou Soumano,Lorient,2,2,4,28.6,14.3,14.3,12
Danny Namaso,Auxerre,2,0,2,28.6,28.6,0.0,10
Ludovic Ajorque,Brest,1,3,4,28.6,7.1,21.4,12
Ibrahim Osman,Auxerre,0,2,2,28.6,0.0,28.6,11
Pavel Sulc,Lyon,4,1,5,27.8,22.2,5.6,11
Yann Gboho,Toulouse,3,2,5,27.8,16.7,11.1,12
Moses Simon,Paris FC,3,2,5,27.8,16.7,11.1,12
Aron Dønnum,Toulouse,3,2,5,27.8,16.7,11.1,11
Bahereba Guirassy,Nantes,2,1,3,27.3,18.2,9.1,10
Emanuel Emegha,Strasbourg,4,2,6,25.0,16.7,8.3,5
Adrien Thomasson,Lens,1,4,5,23.8,4.8,19.0,12
Jeremie Boga,Nice,2,2,4,23.5,11.8,11.8,12
Rassoul Ndiaye,Le Havre,3,0,3,23.1,23.1,0.0,12
Fodé Doucouré,Le Havre,2,1,3,23.1,15.4,7.7,11
Frank Magri,Toulouse,4,0,4,22.2,22.2,0.0,12
Charlie Cresswell,Toulouse,3,1,4,22.2,16.7,5.6,12
Afonso Moreira,Lyon,2,2,4,22.2,11.1,11.1,10
Hákon Haraldsson,Lille,4,1,5,21.7,17.4,4.3,11
Hamza Igamane,Lille,4,1,5,21.7,17.4,4.3,10
Matias Fernandez-Pardo,Lille,2,3,5,21.7,8.7,13.0,12
Pierre-Emerick Aubameyang,Marseille,4,2,6,21.4,14.3,7.1,10
Robinio Vaz,Marseille,4,2,6,21.4,14.3,7.1,11
Aiyegun Tosin,Lorient,3,0,3,21.4,21.4,0.0,12
Théo Le Bris,Lorient,2,1,3,21.4,14.3,7.1,11
Kamory Doumbia,Brest,2,1,3,21.4,14.3,7.1,8
Arsène Kouassi,Lorient,1,2,3,21.4,7.1,14.3,12
Mohamed Meïté,Rennes,2,2,4,21.1,10.5,10.5,11
Anssumane Fati,Monaco,5,0,5,20.8,20.8,0.0,8
Folarin Balogun,Monaco,4,1,5,20.8,16.7,4.2,10
Maghnes Akliouche,Monaco,3,2,5,20.8,12.5,8.3,11
Valentín Barco,Strasbourg,1,4,5,20.8,4.2,16.7,12
Yassin Belkhdim,Angers,0,2,2,20.0,0.0,20.0,12
Florian Thauvin,Lens,2,2,4,19.0,9.5,9.5,12
Youssef El-Arabi,Nantes,2,0,2,18.2,18.2,0.0,10
Mostafa Mohamed,Nantes,2,0,2,18.2,18.2,0.0,11
Louis Leroux,Nantes,1,1,2,18.2,9.1,9.1,12
Hichem Boudaoui,Nice,1,2,3,17.6,5.9,11.8,11
Mohamed Ali-Cho,Nice,1,2,3,17.6,5.9,11.8,5
Jonathan Clauss,Nice,1,2,3,17.6,5.9,11.8,9
Bradley Barcola,Paris Saint Germain,4,0,4,16.7,16.7,0.0,10
João Neves,Paris Saint Germain,4,0,4,16.7,16.7,0.0,6
Corentin Tolisso,Lyon,3,0,3,16.7,16.7,0.0,12
Takumi Minamino,Monaco,2,2,4,16.7,8.3,8.3,11
Jean-Phillipe Krasso,Paris FC,2,1,3,16.7,11.1,5.6,12
Malick Fofana,Lyon,2,1,3,16.7,11.1,5.6,9
Emersonn,Toulouse,2,1,3,16.7,11.1,5.6,8
Ainsley Maitland-Niles,Lyon,1,2,3,16.7,5.6,11.1,12
Jean-Philippe Gbamin,Metz,1,1,2,16.7,8.3,8.3,12
Guela Doué,Strasbourg,1,3,4,16.7,4.2,12.5,8
Diego Moreira,Strasbourg,1,3,4,16.7,4.2,12.5,11
Ibou Sané,Metz,1,1,2,16.7,8.3,8.3,10
Maxime Lopez,Paris FC,0,3,3,16.7,0.0,16.7,12
Cheick Tidiane Sabaly,Metz,0,2,2,16.7,0.0,16.7,10
Breel Embolo,Rennes,3,0,3,15.8,15.8,0.0,9
Ludovic Blas,Rennes,2,1,3,15.8,10.5,5.3,10
Mousa Al Tamari,Rennes,1,2,3,15.8,5.3,10.5,11
Abdoulaye Touré,Le Havre,2,0,2,15.4,15.4,0.0,10
Gautier Lloris,Le Havre,1,1,2,15.4,7.7,7.7,11
Yassine Kechta,Le Havre,1,1,2,15.4,7.7,7.7,11
Remy Labeau Lascary,Brest,2,0,2,14.3,14.3,0.0,6
Francisco Sierralta,Auxerre,1,0,1,14.3,14.3,0.0,10
Mama Baldé,Brest,1,1,2,14.3,7.1,7.1,8
Mohamed Bamba,Lorient,1,1,2,14.3,7.1,7.1,12
Olivier Giroud,Lille,2,1,3,13.0,8.7,4.3,10
Romain Perraud,Lille,2,1,3,13.0,8.7,4.3,10
Osame Sahraoui,Lille,1,2,3,13.0,4.3,8.7,10
Ousmane Dembélé,Paris Saint Germain,2,1,3,12.5,8.3,4.2,6
Nuno Mendes,Paris Saint Germain,2,1,3,12.5,8.3,4.2,9
Sebastian Nanasi,Strasbourg,2,1,3,12.5,8.3,4.2,4
