player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Georges Mikautadze,Metz,13,4,17,48.6,37.1,11.4,20,2324
Pierre-Emerick Aubameyang,Marseille,16,8,24,46.2,30.8,15.4,34,2324
Muhammed-Cham Saracevic,Clermont Foot,8,4,12,46.2,30.8,15.4,33,2324
Jonathan Christian David,Lille,19,4,23,44.2,36.5,7.7,34,2324
Alexandre Lacazette,Lyon,19,2,21,42.9,38.8,4.1,29,2324
Kylian Mbappe-Lottin,Paris Saint Germain,27,7,34,42.0,33.3,8.6,29,2324
Thijs Dallinga,Toulouse,14,2,16,38.1,33.3,4.8,33,2324
Téji Savanier,Montpellier,9,7,16,37.2,20.9,16.3,32,2324
Mostafa Mohamed,Nantes,8,2,10,33.3,26.7,6.7,29,2324
Terem Igobor Moffi,Nice,11,2,13,32.5,27.5,5.0,30,2324
Romain Del Castillo,Brest,8,8,16,30.2,15.1,15.1,33,2324
Jeremie Boga,Nice,6,6,12,30.0,15.0,15.0,28,2324
Florian Sotoca,Lens,7,6,13,28.9,15.6,13.3,32,2324
Benjamin Bourigeaud,Rennes,9,6,15,28.3,17.0,11.3,32,2324
Shamar Nicholson,Clermont Foot,4,3,7,26.9,15.4,11.5,26,2324
Florent Mollet,Nantes,4,4,8,26.7,13.3,13.3,29,2324
Moses Simon,Nantes,3,5,8,26.7,10.0,16.7,22,2324
Wissam Ben Yedder,Monaco,16,2,18,26.5,23.5,2.9,32,2324
Mohamed Bamba,Lorient,8,3,11,25.6,18.6,7.0,16,2324
Mohamed Daramy,Reims,5,5,10,23.8,11.9,11.9,25,2324
Junya Ito,Reims,3,7,10,23.8,7.1,16.7,31,2324
Emanuel Emegha,Strasbourg,8,1,9,23.7,21.1,2.6,28,2324
Dilane Bakwa,Strasbourg,3,6,9,23.7,7.9,15.8,31,2324
Takumi Minamino,Monaco,10,6,16,23.5,14.7,8.8,30,2324
Edon Zhegrova,Lille,6,6,12,23.1,11.5,11.5,33,2324
Teddy Teuma,Reims,6,3,9,21.4,14.3,7.1,28,2324
Akor Adams,Montpellier,8,1,9,20.9,18.6,2.3,32,2324
Arnaud Nordin,Montpellier,6,3,9,20.9,14.0,7.0,20,2324
Arnaud Kalimuendo Muinga,Rennes,10,1,11,20.8,18.9,1.9,30,2324
Kamory Doumbia,Brest,6,5,11,20.8,11.3,9.4,25,2324
Christopher Operi,Le Havre,3,4,7,20.6,8.8,11.8,28,2324
Vincent Sierro,Toulouse,6,2,8,19.0,14.3,4.8,30,2324
Martin Terrier,Rennes,7,3,10,18.9,13.2,5.7,24,2324
Amine Gouiri,Rennes,7,3,10,18.9,13.2,5.7,31,2324
Mahdi Camara,Brest,7,3,10,18.9,13.2,5.7,32,2324
Eli Junior Kroupi,Lorient,5,3,8,18.6,11.6,7.0,30,2324
Wesley Said,Lens,7,1,8,17.8,15.6,2.2,27,2324
Folarin Balogun,Monaco,7,5,12,17.6,10.3,7.4,29,2324
