Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2324,Brest,1,2023-08-13,Lens,H,W,3,2,3,1.0,2.0,2.0
2324,Brest,2,2023-08-26,Marseille,A,L,2,0,0,3.0,-3.0,-1.0
2324,Brest,3,2023-09-02,Rennes,H,D,0,0,1,0.0,1.0,0.0
2324,Brest,4,2023-09-17,Reims,A,W,1,2,3,1.0,2.0,2.0
2324,Brest,5,2023-09-23,Lyon,H,W,1,0,3,0.0,3.0,5.0
2324,Brest,6,2023-10-01,Nice,A,D,0,0,1,0.0,1.0,6.0
2324,Brest,7,2023-10-08,Toulouse,H,D,1,1,1,3.0,-2.0,4.0
2324,Brest,8,2023-10-22,Lille,A,L,1,0,0,0.0,0.0,4.0
2324,Brest,9,2023-10-29,Paris SG,H,L,2,3,0,0.0,0.0,4.0
2324,Brest,10,2023-11-05,Monaco,A,L,2,0,0,0.0,0.0,4.0
2324,Brest,11,2023-11-26,Montpellier,A,W,1,3,3,0.0,3.0,7.0
2324,Brest,12,2023-12-03,Clermont,H,W,3,0,3,3.0,0.0,7.0
2324,Brest,13,2023-12-07,Strasbourg,H,D,1,1,1,1.0,0.0,7.0
2324,Brest,14,2023-12-17,Nantes,A,W,0,2,3,0.0,3.0,10.0
2324,Brest,15,2023-12-20,Lorient,H,W,4,0,3,0.0,3.0,13.0
2324,Brest,16,2024-01-14,Montpellier,H,W,2,0,3,0.0,3.0,16.0
2324,Brest,17,2024-01-28,Paris SG,A,D,2,2,1,0.0,1.0,17.0
2324,Brest,18,2024-02-04,Nice,H,D,0,0,1,3.0,-2.0,15.0
2324,Brest,19,2024-02-11,Clermont,A,D,1,1,1,3.0,-2.0,13.0
2324,Brest,20,2024-02-18,Marseille,H,W,1,0,3,1.0,2.0,15.0
2324,Brest,21,2024-02-24,Strasbourg,A,W,0,3,3,3.0,0.0,15.0
2324,Brest,22,2024-03-09,Lens,A,L,1,0,0,0.0,0.0,15.0
2324,Brest,23,2024-03-17,Lille,H,D,1,1,1,1.0,0.0,15.0
2324,Brest,24,2024-03-31,Lorient,A,W,0,1,3,0.0,3.0,18.0
2324,Brest,25,2024-04-14,Lyon,A,L,4,3,0,1.0,-1.0,17.0
2324,Brest,26,2024-04-21,Monaco,H,L,0,2,0,0.0,0.0,17.0
2324,Brest,27,2024-04-28,Rennes,A,W,4,5,3,0.0,3.0,20.0
2324,Brest,28,2024-05-04,Nantes,H,D,0,0,1,3.0,-2.0,18.0
2324,Brest,29,2024-05-10,Reims,H,D,1,1,1,1.0,0.0,18.0
2324,Brest,30,2024-05-19,Toulouse,A,W,0,3,3,1.0,2.0,20.0
2324,Clermont,1,2023-08-13,Monaco,H,L,2,4,0,0.0,0.0,0.0
2324,Clermont,2,2023-08-20,Reims,A,L,2,0,0,3.0,-3.0,-3.0
2324,Clermont,3,2023-09-03,Toulouse,A,D,2,2,1,3.0,-2.0,-5.0
2324,Clermont,4,2023-09-17,Nantes,H,L,0,1,0,1.0,-1.0,-6.0
2324,Clermont,5,2023-09-30,Paris SG,H,D,0,0,1,0.0,1.0,-5.0
2324,Clermont,6,2023-10-22,Lyon,A,W,1,2,3,3.0,0.0,-5.0
2324,Clermont,7,2023-10-27,Nice,H,L,0,1,0,3.0,-3.0,-8.0
2324,Clermont,8,2023-11-05,Strasbourg,A,D,0,0,1,1.0,0.0,-8.0
2324,Clermont,9,2023-11-12,Lorient,H,W,1,0,3,3.0,0.0,-8.0
2324,Clermont,10,2023-11-25,Lens,H,L,0,3,0,0.0,0.0,-8.0
2324,Clermont,11,2023-11-29,Montpellier,A,D,1,1,1,0.0,1.0,-7.0
2324,Clermont,12,2023-12-03,Brest,A,L,3,0,0,0.0,0.0,-7.0
2324,Clermont,13,2023-12-10,Lille,H,D,0,0,1,0.0,1.0,-6.0
2324,Clermont,14,2023-12-17,Marseille,A,L,2,1,0,0.0,0.0,-6.0
2324,Clermont,15,2023-12-20,Rennes,H,L,1,3,0,3.0,-3.0,-9.0
2324,Clermont,16,2024-01-14,Nantes,A,W,1,2,3,1.0,2.0,-7.0
2324,Clermont,17,2024-01-28,Strasbourg,H,D,1,1,1,1.0,0.0,-7.0
2324,Clermont,18,2024-02-04,Lille,A,L,4,0,0,1.0,-1.0,-8.0
2324,Clermont,19,2024-02-11,Brest,H,D,1,1,1,0.0,1.0,-7.0
2324,Clermont,20,2024-02-18,Rennes,A,L,3,1,0,0.0,0.0,-7.0
2324,Clermont,21,2024-02-25,Nice,A,D,0,0,1,3.0,-2.0,-9.0
2324,Clermont,22,2024-03-02,Marseille,H,L,1,5,0,0.0,0.0,-9.0
2324,Clermont,23,2024-03-31,Toulouse,H,L,0,3,0,3.0,-3.0,-12.0
2324,Clermont,24,2024-04-06,Paris SG,A,D,1,1,1,3.0,-2.0,-14.0
2324,Clermont,25,2024-04-14,Montpellier,H,D,1,1,1,1.0,0.0,-14.0
2324,Clermont,26,2024-04-20,Lens,A,L,1,0,0,0.0,0.0,-14.0
2324,Clermont,27,2024-04-28,Reims,H,W,4,1,3,3.0,0.0,-14.0
2324,Clermont,28,2024-05-04,Monaco,A,L,4,1,0,1.0,-1.0,-15.0
2324,Clermont,29,2024-05-12,Lyon,H,L,0,1,0,3.0,-3.0,-18.0
2324,Clermont,30,2024-05-19,Lorient,A,L,5,0,0,0.0,0.0,-18.0
2324,Lens,1,2023-08-13,Brest,A,L,3,2,0,1.0,-1.0,-1.0
2324,Lens,2,2023-08-20,Rennes,H,D,1,1,1,3.0,-2.0,-3.0
2324,Lens,3,2023-08-26,Paris SG,A,L,3,1,0,0.0,0.0,-3.0
2324,Lens,4,2023-09-02,Monaco,A,L,3,0,0,3.0,-3.0,-6.0
2324,Lens,5,2023-09-24,Toulouse,H,W,2,1,3,3.0,0.0,-6.0
2324,Lens,6,2023-09-29,Strasbourg,A,W,0,1,3,1.0,2.0,-4.0
2324,Lens,7,2023-10-08,Lille,H,D,1,1,1,1.0,0.0,-4.0
2324,Lens,8,2023-10-28,Nantes,H,W,4,0,3,3.0,0.0,-4.0
2324,Lens,9,2023-11-04,Lorient,A,D,0,0,1,3.0,-2.0,-6.0
2324,Lens,10,2023-11-12,Marseille,H,W,1,0,3,3.0,0.0,-6.0
2324,Lens,11,2023-11-25,Clermont,A,W,0,3,3,3.0,0.0,-6.0
2324,Lens,12,2023-12-02,Lyon,H,W,3,2,3,3.0,0.0,-6.0
2324,Lens,13,2023-12-08,Montpellier,A,D,0,0,1,1.0,0.0,-6.0
2324,Lens,14,2023-12-16,Reims,H,W,2,0,3,3.0,0.0,-6.0
2324,Lens,15,2023-12-20,Nice,A,L,2,0,0,1.0,-1.0,-7.0
2324,Lens,16,2024-01-14,Paris SG,H,L,0,2,0,3.0,-3.0,-10.0
2324,Lens,17,2024-01-28,Toulouse,A,W,0,2,3,3.0,0.0,-10.0
2324,Lens,18,2024-02-03,Nantes,A,W,0,1,3,1.0,2.0,-8.0
2324,Lens,19,2024-02-10,Strasbourg,H,W,3,1,3,3.0,0.0,-8.0
2324,Lens,20,2024-02-18,Reims,A,D,1,1,1,1.0,0.0,-8.0
2324,Lens,21,2024-02-25,Monaco,H,L,2,3,0,3.0,-3.0,-11.0
2324,Lens,22,2024-03-03,Lyon,A,W,0,3,3,0.0,3.0,-8.0
2324,Lens,23,2024-03-09,Brest,H,W,1,0,3,3.0,0.0,-8.0
2324,Lens,24,2024-03-16,Nice,H,L,1,3,0,0.0,0.0,-8.0
2324,Lens,25,2024-03-29,Lille,A,L,2,1,0,0.0,0.0,-8.0
2324,Lens,26,2024-04-20,Clermont,H,W,1,0,3,3.0,0.0,-8.0
2324,Lens,27,2024-04-28,Marseille,A,L,2,1,0,3.0,-3.0,-11.0
2324,Lens,28,2024-05-03,Lorient,H,W,2,0,3,3.0,0.0,-11.0
2324,Lens,29,2024-05-12,Rennes,A,D,1,1,1,3.0,-2.0,-13.0
2324,Lens,30,2024-05-19,Montpellier,H,D,2,2,1,3.0,-2.0,-15.0
2324,Lille,1,2023-08-11,Nice,A,D,1,1,1,0.0,1.0,1.0
2324,Lille,2,2023-08-20,Nantes,H,W,2,0,3,3.0,0.0,1.0
2324,Lille,3,2023-08-27,Lorient,A,L,4,1,0,0.0,0.0,1.0
2324,Lille,4,2023-09-03,Montpellier,H,W,1,0,3,3.0,0.0,1.0
2324,Lille,5,2023-09-16,Rennes,A,D,2,2,1,3.0,-2.0,-1.0
2324,Lille,6,2023-09-26,Reims,H,L,1,2,0,1.0,-1.0,-2.0
2324,Lille,7,2023-10-08,Lens,A,D,1,1,1,1.0,0.0,-2.0
2324,Lille,8,2023-10-22,Brest,H,W,1,0,3,3.0,0.0,-2.0
2324,Lille,9,2023-10-29,Monaco,H,W,2,0,3,3.0,0.0,-2.0
2324,Lille,10,2023-11-04,Marseille,A,D,0,0,1,0.0,1.0,-1.0
2324,Lille,11,2023-11-12,Toulouse,H,D,1,1,1,3.0,-2.0,-3.0
2324,Lille,12,2023-11-26,Lyon,A,W,0,2,3,0.0,3.0,0.0
2324,Lille,13,2023-12-10,Clermont,A,D,0,0,1,3.0,-2.0,-2.0
2324,Lille,14,2023-12-17,Paris SG,H,D,1,1,1,0.0,1.0,-1.0
2324,Lille,15,2023-12-20,Strasbourg,A,L,2,1,0,3.0,-3.0,-4.0
2324,Lille,16,2024-01-14,Lorient,H,W,3,0,3,3.0,0.0,-4.0
2324,Lille,17,2024-01-28,Montpellier,A,D,0,0,1,3.0,-2.0,-6.0
2324,Lille,18,2024-02-04,Clermont,H,W,4,0,3,1.0,2.0,-4.0
2324,Lille,19,2024-02-10,Paris SG,A,L,3,1,0,0.0,0.0,-4.0
2324,Lille,20,2024-02-25,Toulouse,A,L,3,1,0,3.0,-3.0,-7.0
2324,Lille,21,2024-03-02,Reims,A,W,0,1,3,0.0,3.0,-4.0
