Rank,Team,Elo,Matches
1,Arsenal,1770.9,201
2,Man City,1757.23,201
3,Liverpool,1725.5,201
4,Chelsea,1643.26,201
5,Aston Villa,1625.42,201
6,Crystal Palace,1614.97,201
7,Brighton,1584.08,201
8,Newcastle,1576.92,201
9,Bournemouth,1570.19,125
10,Brentford,1563.47,163
11,Sunderland,1561.2,11
12,Everton,1537.3,201
13,Man United,1535.77,201
14,Tottenham,1524.48,201
15,Fulham,1499.41,163
16,Nott'm Forest,1492.16,125
17,West Ham,1451.84,201
18,Wolves,1388.87,201
19,Leeds,1375.26,125
20,Burnley,1366.35,125
