player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games
Erling Haaland,Manchester City,14,1,15,65.2,60.9,4.3,11
Antoine Semenyo,Bournemouth,6,3,9,52.9,35.3,17.6,11
Thiago,Brentford,8,0,8,47.1,47.1,0.0,11
Jean-Philippe Mateta,Crystal Palace,6,0,6,42.9,42.9,0.0,11
Iliman Ndiaye,Everton,4,1,5,41.7,33.3,8.3,11
Jack Grealish,Everton,1,4,5,41.7,8.3,33.3,10
Emiliano Buendía,Aston Villa,3,2,5,38.5,23.1,15.4,9
Nick Woltemade,Newcastle United,4,0,4,36.4,36.4,0.0,8
Bruno Guimarães,Newcastle United,3,1,4,36.4,27.3,9.1,10
Jaidon Anthony,Burnley,4,1,5,35.7,28.6,7.1,11
Danny Welbeck,Brighton,6,0,6,35.3,35.3,0.0,11
Mohamed Salah,Liverpool,4,2,6,33.3,22.2,11.1,11
João Pedro,Chelsea,4,3,7,33.3,19.0,14.3,11
Bryan Mbeumo,Manchester United,5,1,6,31.6,26.3,5.3,11
Richarlison,Tottenham,4,2,6,31.6,21.1,10.5,11
Jarrod Bowen,West Ham,3,1,4,30.8,23.1,7.7,11
Morgan Gibbs-White,Nottingham Forest,2,1,3,30.0,20.0,10.0,11
Sean Longstaff,Leeds,1,2,3,30.0,10.0,20.0,11
Wilson Isidor,Sunderland,4,0,4,28.6,28.6,0.0,11
Ismaila Sarr,Crystal Palace,3,1,4,28.6,21.4,7.1,9
Granit Xhaka,Sunderland,1,3,4,28.6,7.1,21.4,11
Marshall Munetsi,Wolverhampton Wanderers,1,1,2,28.6,14.3,14.3,11
Ladislav Krejcí,Wolverhampton Wanderers,1,1,2,28.6,14.3,14.3,8
Quilindschy Hartman,Burnley,0,4,4,28.6,0.0,28.6,11
Cody Gakpo,Liverpool,3,2,5,27.8,16.7,11.1,11
Jacob Murphy,Newcastle United,2,1,3,27.3,18.2,9.1,10
Bruno Fernandes,Manchester United,2,3,5,26.3,10.5,15.8,11
Mohammed Kudus,Tottenham,1,4,5,26.3,5.3,21.1,10
Alex Iwobi,Fulham,1,2,3,25.0,8.3,16.7,11
Kiernan Dewsbury-Hall,Everton,1,2,3,25.0,8.3,16.7,10
Pedro Neto,Chelsea,3,2,5,23.8,14.3,9.5,11
Eli Junior Kroupi,Bournemouth,4,0,4,23.5,23.5,0.0,8
Kevin Schade,Brentford,3,1,4,23.5,17.6,5.9,11
Yankuba Minteh,Brighton,1,3,4,23.5,5.9,17.6,11
Lucas Paquetá,West Ham,3,0,3,23.1,23.1,0.0,11
Donyell Malen,Aston Villa,3,0,3,23.1,23.1,0.0,11
Morgan Rogers,Aston Villa,1,2,3,23.1,7.7,15.4,11
Lucas Digne,Aston Villa,0,3,3,23.1,0.0,23.1,11
El Hadji Malick Diouf,West Ham,0,3,3,23.1,0.0,23.1,11
Hugo Ekitike,Liverpool,3,1,4,22.2,16.7,5.6,10
Ryan Gravenberch,Liverpool,3,1,4,22.2,16.7,5.6,9
Zian Flemming,Burnley,3,0,3,21.4,21.4,0.0,8
Josh Cullen,Burnley,2,1,3,21.4,14.3,7.1,11
Lyle Foster,Burnley,2,1,3,21.4,14.3,7.1,8
Daniel Muñoz,Crystal Palace,1,2,3,21.4,7.1,14.3,11
Casemiro,Manchester United,3,1,4,21.1,15.8,5.3,10
Pape Sarr,Tottenham,2,2,4,21.1,10.5,10.5,10
Viktor Gyokeres,Arsenal,4,0,4,20.0,20.0,0.0,10
Chris Wood,Nottingham Forest,2,0,2,20.0,20.0,0.0,8
Declan Rice,Arsenal,2,2,4,20.0,10.0,10.0,11
Joe Rodon,Leeds,2,0,2,20.0,20.0,0.0,11
Lukas Nmecha,Leeds,2,0,2,20.0,20.0,0.0,11
Leandro Trossard,Arsenal,2,2,4,20.0,10.0,10.0,9
Noah Okafor,Leeds,2,0,2,20.0,20.0,0.0,8
Dan Ndoye,Nottingham Forest,1,1,2,20.0,10.0,10.0,10
Elliot Anderson,Nottingham Forest,1,1,2,20.0,10.0,10.0,11
Anton Stach,Leeds,1,1,2,20.0,10.0,10.0,10
Brenden Aaronson,Leeds,1,1,2,20.0,10.0,10.0,11
Moisés Caicedo,Chelsea,3,1,4,19.0,14.3,4.8,11
Enzo Fernández,Chelsea,3,1,4,19.0,14.3,4.8,10
Marcus Tavernier,Bournemouth,2,1,3,17.6,11.8,5.9,11
Jéremy Doku,Manchester City,1,3,4,17.4,4.3,13.0,11
Idrissa Gueye,Everton,2,0,2,16.7,16.7,0.0,11
Federico Chiesa,Liverpool,2,1,3,16.7,11.1,5.6,8
Michael Keane,Everton,2,0,2,16.7,16.7,0.0,11
Harry Wilson,Fulham,2,0,2,16.7,16.7,0.0,10
Ryan Sessegnon,Fulham,2,0,2,16.7,16.7,0.0,10
Sasa Lukic,Fulham,1,1,2,16.7,8.3,8.3,9
Raúl Jiménez,Fulham,1,1,2,16.7,8.3,8.3,10
James Garner,Everton,1,1,2,16.7,8.3,8.3,11
Rodrigo Muniz,Fulham,1,1,2,16.7,8.3,8.3,7
Micky van de Ven,Tottenham,3,0,3,15.8,15.8,0.0,11
João Palhinha,Tottenham,2,1,3,15.8,10.5,5.3,11
Benjamin Sesko,Manchester United,2,1,3,15.8,10.5,5.3,11
Amad Diallo Traore,Manchester United,1,2,3,15.8,5.3,10.5,10
Callum Wilson,West Ham,2,0,2,15.4,15.4,0.0,8
Tomas Soucek,West Ham,2,0,2,15.4,15.4,0.0,8
