player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Teemu Pukki,Norwich,11,3,14,60.9,47.8,13.0,37,2122
Emmanuel Dennis,Watford,10,6,16,47.1,29.4,17.6,33,2122
Son Heung-Min,Tottenham,23,7,30,43.5,33.3,10.1,35,2122
Mohamed Salah,Liverpool,23,13,36,38.3,24.5,13.8,35,2122
Harry Kane,Tottenham,17,9,26,37.7,24.6,13.0,37,2122
Cristiano Ronaldo,Manchester United,18,3,21,36.8,31.6,5.3,30,2122
Jarrod Bowen,West Ham,12,10,22,36.7,20.0,16.7,36,2122
Ivan Toney,Brentford,12,5,17,35.4,25.0,10.4,33,2122
James Ward-Prowse,Southampton,10,5,15,34.9,23.3,11.6,36,2122
Richarlison,Everton,10,5,15,34.9,23.3,11.6,30,2122
Raphinha,Leeds,11,3,14,33.3,26.2,7.1,35,2122
James Maddison,Leicester,12,8,20,32.3,19.4,12.9,35,2122
Wilfried Zaha,Crystal Palace,14,1,15,30.0,28.0,2.0,33,2122
Michail Antonio,West Ham,10,8,18,30.0,16.7,13.3,36,2122
Bukayo Saka,Arsenal,11,7,18,29.5,18.0,11.5,38,2122
Maxwel Cornet,Burnley,9,1,10,29.4,26.5,2.9,26,2122
Bruno Fernandes,Manchester United,10,6,16,28.1,17.5,10.5,36,2122
Mason Mount,Chelsea,11,10,21,27.6,14.5,13.2,32,2122
Jamie Vardy,Leicester,15,2,17,27.4,24.2,3.2,25,2122
Raúl Jiménez,Wolverhampton Wanderers,6,4,10,26.3,15.8,10.5,34,2122
Leandro Trossard,Brighton,8,3,11,26.2,19.0,7.1,34,2122
Harvey Barnes,Leicester,6,10,16,25.8,9.7,16.1,32,2122
Ollie Watkins,Aston Villa,11,2,13,25.0,21.2,3.8,35,2122
Danny Ings,Aston Villa,7,6,13,25.0,13.5,11.5,30,2122
Neal Maupay,Brighton,8,2,10,23.8,19.0,4.8,32,2122
Joshua King,Watford,5,3,8,23.5,14.7,8.8,32,2122
Said Benrahma,West Ham,8,6,14,23.3,13.3,10.0,32,2122
Che Adams,Southampton,7,3,10,23.3,16.3,7.0,30,2122
Kevin De Bruyne,Manchester City,15,8,23,23.2,15.2,8.1,30,2122
Bryan Mbeumo,Brentford,4,7,11,22.9,8.3,14.6,35,2122
Allan Saint-Maximin,Newcastle United,5,5,10,22.7,11.4,11.4,35,2122
Conor Gallagher,Crystal Palace,8,3,11,22.0,16.0,6.0,34,2122
Jack Harrison,Leeds,8,1,9,21.4,19.0,2.4,35,2122
Demarai Gray,Everton,5,4,9,20.9,11.6,9.3,34,2122
Ismaila Sarr,Watford,5,2,7,20.6,14.7,5.9,22,2122
Juan Camilo Hernández,Watford,5,2,7,20.6,14.7,5.9,25,2122
Diogo Jota,Liverpool,15,4,19,20.2,16.0,4.3,35,2122
Odsonne Edouard,Crystal Palace,6,4,10,20.0,12.0,8.0,28,2122
Emile Smith-Rowe,Arsenal,10,2,12,19.7,16.4,3.3,33,2122
Gabriel Martinelli,Arsenal,6,6,12,19.7,9.8,9.8,29,2122
Emiliano Buendía,Aston Villa,4,6,10,19.2,7.7,11.5,35,2122
Sadio Mané,Liverpool,16,2,18,19.1,17.0,2.1,34,2122
Dejan Kulusevski,Tottenham,5,8,13,18.8,7.2,11.6,18,2122
Reece James,Chelsea,5,9,14,18.4,6.6,11.8,26,2122
Raheem Sterling,Manchester City,13,5,18,18.2,13.1,5.1,30,2122
Callum Wilson,Newcastle United,8,0,8,18.2,18.2,0.0,18,2122
Martin Odegaard,Arsenal,7,4,11,18.0,11.5,6.6,36,2122
Alexandre Lacazette,Arsenal,4,7,11,18.0,6.6,11.5,30,2122
Paul Pogba,Manchester United,1,9,10,17.5,1.8,15.8,20,2122
Yoane Wissa,Brentford,7,1,8,16.7,14.6,2.1,30,2122
Danny Welbeck,Brighton,6,1,7,16.7,14.3,2.4,25,2122
Rodrigo,Leeds,6,1,7,16.7,14.3,2.4,31,2122
Alexis Mac Allister,Brighton,5,2,7,16.7,11.9,4.8,33,2122
Dominic Calvert-Lewin,Everton,5,2,7,16.3,11.6,4.7,17,2122
Riyad Mahrez,Manchester City,11,5,16,16.2,11.1,5.1,28,2122
Gabriel Jesus,Manchester City,8,8,16,16.2,8.1,8.1,28,2122
Youri Tielemans,Leicester,6,4,10,16.1,9.7,6.5,32,2122
Hee-Chan Hwang,Wolverhampton Wanderers,5,1,6,15.8,13.2,2.6,30,2122
Rúben Neves,Wolverhampton Wanderers,4,2,6,15.8,10.5,5.3,33,2122
Philippe Coutinho,Aston Villa,5,3,8,15.4,9.6,5.8,19,2122
Pablo Fornals,West Ham,6,3,9,15.0,10.0,5.0,36,2122
Trent Alexander-Arnold,Liverpool,2,12,14,14.9,2.1,12.8,32,2122
Matej Vydra,Burnley,2,3,5,14.7,5.9,8.8,22,2122
Wout Weghorst,Burnley,2,3,5,14.7,5.9,8.8,20,2122
Josh Brownhill,Burnley,2,3,5,14.7,5.9,8.8,35,2122
Kiko Femenía,Watford,0,5,5,14.7,0.0,14.7,27,2122
Christian Nørgaard,Brentford,3,4,7,14.6,6.2,8.3,35,2122
Kai Havertz,Chelsea,8,3,11,14.5,10.5,3.9,29,2122
Kelechi Iheanacho,Leicester,4,5,9,14.5,6.5,8.1,26,2122
Pascal Groß,Brighton,2,4,6,14.3,4.8,9.5,29,2122
Enock Mwepu,Brighton,2,4,6,14.3,4.8,9.5,18,2122
Phil Foden,Manchester City,9,5,14,14.1,9.1,5.1,28,2122
Armando Broja,Southampton,6,0,6,14.0,14.0,0.0,32,2122
Fred,Manchester United,4,4,8,14.0,7.0,7.0,28,2122
Mohamed Elyounoussi,Southampton,4,2,6,14.0,9.3,4.7,30,2122
Anthony Gordon,Everton,4,2,6,14.0,9.3,4.7,35,2122
Abdoulaye Doucouré,Everton,2,4,6,14.0,4.7,9.3,30,2122
Michael Olise,Crystal Palace,2,5,7,14.0,4.0,10.0,26,2122
Nathan Redmond,Southampton,1,5,6,14.0,2.3,11.6,27,2122
Andrew Robertson,Liverpool,3,10,13,13.8,3.2,10.6,29,2122
Bruno Guimarães,Newcastle United,5,1,6,13.6,11.4,2.3,17,2122
Jacob Ramsey,Aston Villa,6,1,7,13.5,11.5,1.9,34,2122
Matthew Cash,Aston Villa,4,3,7,13.5,7.7,5.8,38,2122
John McGinn,Aston Villa,3,4,7,13.5,5.8,7.7,35,2122
Manuel Lanzini,West Ham,5,3,8,13.3,8.3,5.0,30,2122
Daniel Podence,Wolverhampton Wanderers,2,3,5,13.2,5.3,7.9,26,2122
Joshua Sargent,Norwich,2,1,3,13.0,8.7,4.3,26,2122
Milot Rashica,Norwich,1,2,3,13.0,4.3,8.7,31,2122
Mathias Normann,Norwich,1,2,3,13.0,4.3,8.7,23,2122
Patson Daka,Leicester,5,3,8,12.9,8.1,4.8,23,2122
Ilkay Gündogan,Manchester City,8,4,12,12.1,8.1,4.0,27,2122
Bernardo Silva,Manchester City,8,4,12,12.1,8.1,4.0,35,2122
Jean-Philippe Mateta,Crystal Palace,5,1,6,12.0,10.0,2.0,22,2122
Jordan Ayew,Crystal Palace,3,3,6,12.0,6.0,6.0,31,2122
João Pedro,Watford,3,1,4,11.8,8.8,2.9,28,2122
Jay Rodriguez,Burnley,2,2,4,11.8,5.9,5.9,29,2122
Andros Townsend,Everton,3,2,5,11.6,7.0,4.7,21,2122
Michael Keane,Everton,3,2,5,11.6,7.0,4.7,32,2122
Lucas Moura,Tottenham,2,6,8,11.6,2.9,8.7,34,2122
Joelinton,Newcastle United,4,1,5,11.4,9.1,2.3,35,2122
Ryan Fraser,Newcastle United,2,3,5,11.4,4.5,6.8,27,2122
Romelu Lukaku,Chelsea,8,0,8,10.5,10.5,0.0,26,2122
Jorginho,Chelsea,6,2,8,10.5,7.9,2.6,29,2122
Christian Pulisic,Chelsea,6,2,8,10.5,7.9,2.6,22,2122
Mason Greenwood,Manchester United,5,1,6,10.5,8.8,1.8,18,2122
Marcus Rashford,Manchester United,4,2,6,10.5,7.0,3.5,25,2122
Marcos Alonso,Chelsea,4,4,8,10.5,5.3,5.3,28,2122
Conor Coady,Wolverhampton Wanderers,4,0,4,10.5,10.5,0.0,38,2122
Jadon Sancho,Manchester United,3,3,6,10.5,5.3,5.3,29,2122
Leander Dendoncker,Wolverhampton Wanderers,2,2,4,10.5,5.3,5.3,30,2122
Sergi Canos,Brentford,3,2,5,10.4,6.2,4.2,31,2122
Christian Eriksen,Brentford,1,4,5,10.4,2.1,8.3,11,2122
Tomas Soucek,West Ham,5,1,6,10.0,8.3,1.7,35,2122
Christian Benteke,Crystal Palace,4,1,5,10.0,8.0,2.0,25,2122
Jeffrey Schlupp,Crystal Palace,4,1,5,10.0,8.0,2.0,32,2122
