Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2425,Arsenal,1,2024-08-17,Wolves,H,W,2,0,3,3.0,0.0,0.0
2425,Arsenal,2,2024-08-24,Aston Villa,A,W,0,2,3,0.0,3.0,3.0
2425,Arsenal,3,2024-08-31,Brighton,H,D,1,1,1,3.0,-2.0,1.0
2425,Arsenal,4,2024-09-15,Tottenham,A,W,0,1,3,3.0,0.0,1.0
2425,Arsenal,5,2024-09-22,Man City,A,D,2,2,1,1.0,0.0,1.0
2425,Arsenal,6,2024-10-19,Bournemouth,A,L,2,0,0,3.0,-3.0,-2.0
2425,Arsenal,7,2024-10-27,Liverpool,H,D,2,2,1,3.0,-2.0,-4.0
2425,Arsenal,8,2024-11-02,Newcastle,A,L,1,0,0,0.0,0.0,-4.0
2425,Arsenal,9,2024-11-10,Chelsea,A,D,1,1,1,1.0,0.0,-4.0
2425,Arsenal,10,2024-11-23,Nott'm Forest,H,W,3,0,3,3.0,0.0,-4.0
2425,Arsenal,11,2024-11-30,West Ham,A,W,2,5,3,3.0,0.0,-4.0
2425,Arsenal,12,2024-12-04,Man United,H,W,2,0,3,3.0,0.0,-4.0
2425,Arsenal,13,2024-12-08,Fulham,A,D,1,1,1,0.0,1.0,-3.0
2425,Arsenal,14,2024-12-14,Everton,H,D,0,0,1,3.0,-2.0,-5.0
2425,Arsenal,15,2024-12-21,Crystal Palace,A,W,1,5,3,3.0,0.0,-5.0
2425,Arsenal,16,2025-01-01,Brentford,A,W,1,3,3,3.0,0.0,-5.0
2425,Arsenal,17,2025-01-04,Brighton,A,D,1,1,1,3.0,-2.0,-7.0
2425,Arsenal,18,2025-01-15,Tottenham,H,W,2,1,3,1.0,2.0,-5.0
2425,Arsenal,19,2025-01-18,Aston Villa,H,D,2,2,1,0.0,1.0,-4.0
2425,Arsenal,20,2025-01-25,Wolves,A,W,0,1,3,3.0,0.0,-4.0
2425,Arsenal,21,2025-02-02,Man City,H,W,5,1,3,3.0,0.0,-4.0
2425,Arsenal,22,2025-02-22,West Ham,H,L,0,1,0,0.0,0.0,-4.0
2425,Arsenal,23,2025-02-26,Nott'm Forest,A,D,0,0,1,3.0,-2.0,-6.0
2425,Arsenal,24,2025-03-09,Man United,A,D,1,1,1,3.0,-2.0,-8.0
2425,Arsenal,25,2025-03-16,Chelsea,H,W,1,0,3,3.0,0.0,-8.0
2425,Arsenal,26,2025-04-01,Fulham,H,W,2,1,3,1.0,2.0,-6.0
2425,Arsenal,27,2025-04-05,Everton,A,D,1,1,1,3.0,-2.0,-8.0
2425,Arsenal,28,2025-04-12,Brentford,H,D,1,1,1,3.0,-2.0,-10.0
2425,Arsenal,29,2025-04-23,Crystal Palace,H,D,2,2,1,3.0,-2.0,-12.0
2425,Arsenal,30,2025-05-03,Bournemouth,H,L,1,2,0,3.0,-3.0,-15.0
2425,Arsenal,31,2025-05-11,Liverpool,A,D,2,2,1,1.0,0.0,-15.0
2425,Arsenal,32,2025-05-18,Newcastle,H,W,1,0,3,3.0,0.0,-15.0
2425,Aston Villa,1,2024-08-17,West Ham,A,W,1,2,3,1.0,2.0,2.0
2425,Aston Villa,2,2024-08-24,Arsenal,H,L,0,2,0,3.0,-3.0,-1.0
2425,Aston Villa,3,2024-09-14,Everton,H,W,3,2,3,3.0,0.0,-1.0
2425,Aston Villa,4,2024-09-21,Wolves,H,W,3,1,3,3.0,0.0,-1.0
2425,Aston Villa,5,2024-10-06,Man United,H,D,0,0,1,0.0,1.0,0.0
2425,Aston Villa,6,2024-10-19,Fulham,A,W,1,3,3,3.0,0.0,0.0
2425,Aston Villa,7,2024-10-26,Bournemouth,H,D,1,1,1,3.0,-2.0,-2.0
2425,Aston Villa,8,2024-11-03,Tottenham,A,L,4,1,0,3.0,-3.0,-5.0
2425,Aston Villa,9,2024-11-09,Liverpool,A,L,2,0,0,0.0,0.0,-5.0
2425,Aston Villa,10,2024-11-23,Crystal Palace,H,D,2,2,1,3.0,-2.0,-7.0
2425,Aston Villa,11,2024-12-01,Chelsea,A,L,3,0,0,3.0,-3.0,-10.0
2425,Aston Villa,12,2024-12-04,Brentford,H,W,3,1,3,1.0,2.0,-8.0
2425,Aston Villa,13,2024-12-14,Nott'm Forest,A,L,2,1,0,0.0,0.0,-8.0
2425,Aston Villa,14,2024-12-21,Man City,H,W,2,1,3,3.0,0.0,-8.0
2425,Aston Villa,15,2024-12-26,Newcastle,A,L,3,0,0,0.0,0.0,-8.0
2425,Aston Villa,16,2024-12-30,Brighton,H,D,2,2,1,3.0,-2.0,-10.0
2425,Aston Villa,17,2025-01-15,Everton,A,W,0,1,3,1.0,2.0,-8.0
2425,Aston Villa,18,2025-01-18,Arsenal,A,D,2,2,1,3.0,-2.0,-10.0
2425,Aston Villa,19,2025-01-26,West Ham,H,D,1,1,1,3.0,-2.0,-12.0
2425,Aston Villa,20,2025-02-01,Wolves,A,L,2,0,0,1.0,-1.0,-13.0
2425,Aston Villa,21,2025-02-19,Liverpool,H,D,2,2,1,1.0,0.0,-13.0
2425,Aston Villa,22,2025-02-22,Chelsea,H,W,2,1,3,1.0,2.0,-11.0
2425,Aston Villa,23,2025-02-25,Crystal Palace,A,L,4,1,0,0.0,0.0,-11.0
2425,Aston Villa,24,2025-03-08,Brentford,A,W,0,1,3,3.0,0.0,-11.0
2425,Aston Villa,25,2025-04-02,Brighton,A,W,0,3,3,0.0,3.0,-8.0
2425,Aston Villa,26,2025-04-05,Nott'm Forest,H,W,2,1,3,3.0,0.0,-8.0
2425,Aston Villa,27,2025-04-19,Newcastle,H,W,4,1,3,0.0,3.0,-5.0
2425,Aston Villa,28,2025-04-22,Man City,A,L,2,1,0,0.0,0.0,-5.0
2425,Aston Villa,29,2025-05-03,Fulham,H,W,1,0,3,3.0,0.0,-5.0
2425,Aston Villa,30,2025-05-10,Bournemouth,A,W,0,1,3,1.0,2.0,-3.0
2425,Aston Villa,31,2025-05-16,Tottenham,H,W,2,0,3,0.0,3.0,0.0
2425,Aston Villa,32,2025-05-25,Man United,A,L,2,0,0,0.0,0.0,0.0
2425,Bournemouth,1,2024-08-17,Nott'm Forest,A,D,1,1,1,3.0,-2.0,-2.0
2425,Bournemouth,2,2024-08-25,Newcastle,H,D,1,1,1,3.0,-2.0,-4.0
2425,Bournemouth,3,2024-08-31,Everton,A,W,2,3,3,0.0,3.0,-1.0
2425,Bournemouth,4,2024-09-14,Chelsea,H,L,0,1,0,1.0,-1.0,-2.0
2425,Bournemouth,5,2024-09-21,Liverpool,A,L,3,0,0,0.0,0.0,-2.0
2425,Bournemouth,6,2024-10-19,Arsenal,H,W,2,0,3,0.0,3.0,1.0
2425,Bournemouth,7,2024-10-26,Aston Villa,A,D,1,1,1,0.0,1.0,2.0
2425,Bournemouth,8,2024-11-02,Man City,H,W,2,1,3,0.0,3.0,5.0
2425,Bournemouth,9,2024-11-09,Brentford,A,L,3,2,0,1.0,-1.0,4.0
2425,Bournemouth,10,2024-11-23,Brighton,H,L,1,2,0,3.0,-3.0,1.0
2425,Bournemouth,11,2024-11-30,Wolves,A,W,2,4,3,3.0,0.0,1.0
2425,Bournemouth,12,2024-12-05,Tottenham,H,W,1,0,3,0.0,3.0,4.0
2425,Bournemouth,13,2024-12-16,West Ham,H,D,1,1,1,1.0,0.0,4.0
2425,Bournemouth,14,2024-12-22,Man United,A,W,0,3,3,3.0,0.0,4.0
2425,Bournemouth,15,2024-12-26,Crystal Palace,H,D,0,0,1,3.0,-2.0,2.0
2425,Bournemouth,16,2024-12-29,Fulham,A,D,2,2,1,0.0,1.0,3.0
2425,Bournemouth,17,2025-01-04,Everton,H,W,1,0,3,3.0,0.0,3.0
2425,Bournemouth,18,2025-01-14,Chelsea,A,D,2,2,1,0.0,1.0,4.0
2425,Bournemouth,19,2025-01-18,Newcastle,A,W,1,4,3,1.0,2.0,6.0
2425,Bournemouth,20,2025-01-25,Nott'm Forest,H,W,5,0,3,1.0,2.0,8.0
2425,Bournemouth,21,2025-02-01,Liverpool,H,L,0,2,0,0.0,0.0,8.0
2425,Bournemouth,22,2025-02-22,Wolves,H,L,0,1,0,0.0,0.0,8.0
2425,Bournemouth,23,2025-02-25,Brighton,A,L,2,1,0,0.0,0.0,8.0
2425,Bournemouth,24,2025-03-09,Tottenham,A,D,2,2,1,0.0,1.0,9.0
2425,Bournemouth,25,2025-03-15,Brentford,H,L,1,2,0,0.0,0.0,9.0
2425,Bournemouth,26,2025-04-05,West Ham,A,D,2,2,1,1.0,0.0,9.0
2425,Bournemouth,27,2025-04-14,Fulham,H,W,1,0,3,3.0,0.0,9.0
2425,Bournemouth,28,2025-04-19,Crystal Palace,A,D,0,0,1,3.0,-2.0,7.0
2425,Bournemouth,29,2025-04-27,Man United,H,D,1,1,1,1.0,0.0,7.0
2425,Bournemouth,30,2025-05-03,Arsenal,A,W,1,2,3,0.0,3.0,10.0
2425,Bournemouth,31,2025-05-10,Aston Villa,H,L,0,1,0,1.0,-1.0,9.0
2425,Bournemouth,32,2025-05-20,Man City,A,L,3,1,0,0.0,0.0,9.0
2425,Brentford,1,2024-08-18,Crystal Palace,H,W,2,1,3,1.0,2.0,2.0
2425,Brentford,2,2024-08-25,Liverpool,A,L,2,0,0,0.0,0.0,2.0
2425,Brentford,3,2024-09-14,Man City,A,L,2,1,0,0.0,0.0,2.0
2425,Brentford,4,2024-09-21,Tottenham,A,L,3,1,0,0.0,0.0,2.0
2425,Brentford,5,2024-09-28,West Ham,H,D,1,1,1,3.0,-2.0,0.0
2425,Brentford,6,2024-10-05,Wolves,H,W,5,3,3,0.0,3.0,3.0
2425,Brentford,7,2024-10-19,Man United,A,L,2,1,0,0.0,0.0,3.0
2425,Brentford,8,2024-11-04,Fulham,A,L,2,1,0,3.0,-3.0,0.0
2425,Brentford,9,2024-11-09,Bournemouth,H,W,3,2,3,1.0,2.0,2.0
2425,Brentford,10,2024-11-23,Everton,A,D,0,0,1,0.0,1.0,3.0
2425,Brentford,11,2024-12-04,Aston Villa,A,L,3,1,0,1.0,-1.0,2.0
2425,Brentford,12,2024-12-07,Newcastle,H,W,4,2,3,0.0,3.0,5.0
2425,Brentford,13,2024-12-15,Chelsea,A,L,2,1,0,3.0,-3.0,2.0
2425,Brentford,14,2024-12-21,Nott'm Forest,H,L,0,2,0,3.0,-3.0,-1.0
2425,Brentford,15,2024-12-27,Brighton,A,D,0,0,1,0.0,1.0,0.0
2425,Brentford,16,2025-01-01,Arsenal,H,L,1,3,0,0.0,0.0,0.0
2425,Brentford,17,2025-01-14,Man City,H,D,2,2,1,0.0,1.0,1.0
2425,Brentford,18,2025-01-18,Liverpool,H,L,0,2,0,0.0,0.0,1.0
2425,Brentford,19,2025-01-26,Crystal Palace,A,W,1,2,3,0.0,3.0,4.0
2425,Brentford,20,2025-02-02,Tottenham,H,L,0,2,0,1.0,-1.0,3.0
2425,Brentford,21,2025-02-15,West Ham,A,W,0,1,3,0.0,3.0,6.0
2425,Brentford,22,2025-02-26,Everton,H,D,1,1,1,0.0,1.0,7.0
2425,Brentford,23,2025-03-08,Aston Villa,H,L,0,1,0,0.0,0.0,7.0
2425,Brentford,24,2025-03-15,Bournemouth,A,W,1,2,3,3.0,0.0,7.0
2425,Brentford,25,2025-04-02,Newcastle,A,L,2,1,0,0.0,0.0,7.0
2425,Brentford,26,2025-04-06,Chelsea,H,D,0,0,1,1.0,0.0,7.0
2425,Brentford,27,2025-04-12,Arsenal,A,D,1,1,1,0.0,1.0,8.0
2425,Brentford,28,2025-04-19,Brighton,H,W,4,2,3,1.0,2.0,10.0
2425,Brentford,29,2025-05-01,Nott'm Forest,A,W,0,2,3,1.0,2.0,12.0
2425,Brentford,30,2025-05-04,Man United,H,W,4,3,3,1.0,2.0,14.0
2425,Brentford,31,2025-05-18,Fulham,H,L,2,3,0,1.0,-1.0,13.0
2425,Brentford,32,2025-05-25,Wolves,A,D,1,1,1,3.0,-2.0,11.0
2425,Brighton,1,2024-08-17,Everton,A,W,0,3,3,1.0,2.0,2.0
2425,Brighton,2,2024-08-24,Man United,H,W,2,1,3,0.0,3.0,5.0
2425,Brighton,3,2024-08-31,Arsenal,A,D,1,1,1,0.0,1.0,6.0
2425,Brighton,4,2024-09-22,Nott'm Forest,H,D,2,2,1,3.0,-2.0,4.0
2425,Brighton,5,2024-09-28,Chelsea,A,L,4,2,0,0.0,0.0,4.0
2425,Brighton,6,2024-10-06,Tottenham,H,W,3,2,3,3.0,0.0,4.0
2425,Brighton,7,2024-10-19,Newcastle,A,W,0,1,3,1.0,2.0,6.0
2425,Brighton,8,2024-10-26,Wolves,H,D,2,2,1,1.0,0.0,6.0
2425,Brighton,9,2024-11-02,Liverpool,A,L,2,1,0,0.0,0.0,6.0
2425,Brighton,10,2024-11-09,Man City,H,W,2,1,3,0.0,3.0,9.0
2425,Brighton,11,2024-11-23,Bournemouth,A,W,1,2,3,0.0,3.0,12.0
2425,Brighton,12,2024-12-05,Fulham,A,L,3,1,0,0.0,0.0,12.0
2425,Brighton,13,2024-12-15,Crystal Palace,H,L,1,3,0,3.0,-3.0,9.0
2425,Brighton,14,2024-12-21,West Ham,A,D,1,1,1,1.0,0.0,9.0
2425,Brighton,15,2024-12-27,Brentford,H,D,0,0,1,3.0,-2.0,7.0
2425,Brighton,16,2024-12-30,Aston Villa,A,D,2,2,1,0.0,1.0,8.0
2425,Brighton,17,2025-01-04,Arsenal,H,D,1,1,1,0.0,1.0,9.0
2425,Brighton,18,2025-01-19,Man United,A,W,1,3,3,3.0,0.0,9.0
2425,Brighton,19,2025-01-25,Everton,H,L,0,1,0,1.0,-1.0,8.0
