Team,Match_Number,Date,Opponent,Venue,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
Atalanta,1,2025-08-30,Parma,A,1,1,1,3.0,-2.0,-2.0
Atalanta,2,2025-09-14,Lecce,H,4,1,3,1.0,2.0,0.0
Atalanta,3,2025-09-21,Torino,A,0,3,3,0.0,3.0,3.0
Atalanta,4,2025-09-27,Juventus,A,1,1,1,3.0,-2.0,1.0
Atalanta,5,2025-10-04,Como,H,1,1,1,0.0,1.0,2.0
Atalanta,6,2025-10-19,Lazio,H,0,0,1,0.0,1.0,3.0
Atalanta,7,2025-10-28,Milan,H,1,1,1,3.0,-2.0,1.0
Atalanta,8,2025-11-01,Udinese,A,1,0,0,1.0,-1.0,0.0
Bologna,1,2025-08-23,Roma,A,1,0,0,3.0,-3.0,-3.0
Bologna,2,2025-08-30,Como,H,1,0,3,3.0,0.0,-3.0
Bologna,3,2025-09-14,Milan,A,1,0,0,0.0,0.0,-3.0
Bologna,4,2025-09-20,Genoa,H,2,1,3,0.0,3.0,0.0
Bologna,5,2025-09-28,Lecce,A,2,2,1,1.0,0.0,0.0
Bologna,6,2025-10-19,Cagliari,A,0,2,3,3.0,0.0,0.0
Bologna,7,2025-10-26,Fiorentina,A,2,2,1,0.0,1.0,1.0
Bologna,8,2025-10-29,Torino,H,0,0,1,3.0,-2.0,-1.0
Bologna,9,2025-11-02,Parma,A,1,3,3,0.0,3.0,2.0
Bologna,10,2025-11-09,Napoli,H,2,0,3,1.0,2.0,4.0
Cagliari,1,2025-08-24,Fiorentina,H,1,1,1,0.0,1.0,1.0
Cagliari,2,2025-08-30,Napoli,A,1,0,0,0.0,0.0,1.0
Cagliari,3,2025-09-13,Parma,H,2,0,3,3.0,0.0,1.0
Cagliari,4,2025-09-19,Lecce,A,1,2,3,0.0,3.0,4.0
Cagliari,5,2025-09-27,Inter,H,0,2,0,0.0,0.0,4.0
Cagliari,6,2025-10-05,Udinese,A,1,1,1,0.0,1.0,5.0
Cagliari,7,2025-10-19,Bologna,H,0,2,0,0.0,0.0,5.0
Cagliari,8,2025-10-26,Verona,A,2,2,1,3.0,-2.0,3.0
Cagliari,9,2025-11-03,Lazio,A,2,0,0,0.0,0.0,3.0
Cagliari,10,2025-11-08,Como,A,0,0,1,0.0,1.0,4.0
Como,1,2025-08-24,Lazio,H,2,0,3,0.0,3.0,3.0
Como,2,2025-08-30,Bologna,A,1,0,0,0.0,0.0,3.0
Como,3,2025-09-15,Genoa,H,1,1,1,3.0,-2.0,1.0
Como,4,2025-09-21,Fiorentina,A,1,2,3,3.0,0.0,1.0
Como,5,2025-10-04,Atalanta,A,1,1,1,3.0,-2.0,-1.0
Como,6,2025-10-19,Juventus,H,2,0,3,0.0,3.0,2.0
Como,7,2025-10-25,Parma,A,0,0,1,3.0,-2.0,0.0
Como,8,2025-10-29,Verona,H,3,1,3,3.0,0.0,0.0
Como,9,2025-11-01,Napoli,A,0,0,1,0.0,1.0,1.0
Como,10,2025-11-08,Cagliari,H,0,0,1,3.0,-2.0,-1.0
Fiorentina,1,2025-08-24,Cagliari,A,1,1,1,3.0,-2.0,-2.0
Fiorentina,2,2025-08-31,Torino,A,0,0,1,3.0,-2.0,-4.0
Fiorentina,3,2025-09-13,Napoli,H,1,3,0,0.0,0.0,-4.0
