player,team,goals,assists,contributions,contribution_pct,goals_pct,assists_pct,games,season
Albert Gudmundsson,Genoa,14,4,18,40.0,31.1,8.9,35,2324
Antonio Candreva,Salernitana,6,6,12,37.5,18.8,18.8,34,2324
Dusan Vlahovic,Juventus,16,4,20,37.0,29.6,7.4,33,2324
Paulo Dybala,Roma,13,9,22,33.8,20.0,13.8,28,2324
Victor Osimhen,Napoli,15,3,18,32.7,27.3,5.5,25,2324
Lorenzo Lucca,Udinese,8,4,12,32.4,21.6,10.8,37,2324
Matìas Soulè Malvano,Frosinone,11,3,14,31.8,25.0,6.8,36,2324
Khvicha Kvaratskhelia,Napoli,11,6,17,30.9,20.0,10.9,34,2324
Andrea Colpani,Monza,8,4,12,30.8,20.5,10.3,38,2324
Lautaro Martínez,Inter,24,3,27,30.3,27.0,3.4,33,2324
Olivier Giroud,AC Milan,15,8,23,30.3,19.7,10.5,35,2324
Joshua Zirkzee,Bologna,12,4,16,29.6,22.2,7.4,34,2324
Andrea Pinamonti,Sassuolo,11,1,12,27.9,25.6,2.3,38,2324
Domenico Berardi,Sassuolo,9,3,12,27.9,20.9,7.0,17,2324
Matteo Politano,Napoli,8,7,15,27.3,14.5,12.7,37,2324
Christian Pulisic,AC Milan,12,8,20,26.3,15.8,10.5,36,2324
Gianluca Scamacca,Atalanta,12,6,18,25.0,16.7,8.3,29,2324
Ademola Lookman,Atalanta,11,7,18,25.0,15.3,9.7,31,2324
Charles De Ketelaere,Atalanta,10,8,18,25.0,13.9,11.1,35,2324
Nikola Krstovic,Lecce,7,1,8,25.0,21.9,3.1,35,2324
Romelu Lukaku,Roma,13,3,16,24.6,20.0,4.6,32,2324
Luis Alberto,Lazio,5,7,12,24.5,10.2,14.3,33,2324
M'Baye Niang,Empoli,6,1,7,24.1,20.7,3.4,14,2324
Rafael Leão,AC Milan,9,9,18,23.7,11.8,11.8,34,2324
Tijjani Noslin,Verona,5,4,9,23.7,13.2,10.5,17,2324
Teun Koopmeiners,Atalanta,12,5,17,23.6,16.7,6.9,34,2324
Matteo Pessina,Monza,6,3,9,23.1,15.4,7.7,37,2324
Nicolás González,Fiorentina,12,2,14,23.0,19.7,3.3,29,2324
Marcus Thuram,Inter,13,7,20,22.5,14.6,7.9,35,2324
Felipe Anderson,Lazio,5,6,11,22.4,10.2,12.2,38,2324
Riccardo Orsolini,Bologna,10,2,12,22.2,18.5,3.7,33,2324
Raoul Bellanova,Torino,1,7,8,22.2,2.8,19.4,37,2324
Loum Tchaouna,Salernitana,4,3,7,21.9,12.5,9.4,33,2324
Lazar Samardzic,Udinese,6,2,8,21.6,16.2,5.4,34,2324
Florian Thauvin,Udinese,5,3,8,21.6,13.5,8.1,29,2324
Zito,Cagliari,4,5,9,21.4,9.5,11.9,30,2324
Tomás Suslov,Verona,3,5,8,21.1,7.9,13.2,32,2324
Armand Lauriente,Sassuolo,5,4,9,20.9,11.6,9.3,37,2324
Matteo Cancellieri,Empoli,4,2,6,20.7,13.8,6.9,36,2324
Federico Chiesa,Juventus,9,2,11,20.4,16.7,3.7,33,2324
Mateo Retegui,Genoa,7,2,9,20.0,15.6,4.4,29,2324
Roberto Pereyra,Udinese,4,3,7,18.9,10.8,8.1,27,2324
Giulio Maggiore,Salernitana,4,2,6,18.8,12.5,6.2,27,2324
Grigoris Kastanos,Salernitana,3,3,6,18.8,9.4,9.4,26,2324
Lameck Banda,Lecce,2,4,6,18.8,6.2,12.5,21,2324
