Season,Team,Match_Number,Date,Opponent,Venue,Result,FTHG,FTAG,Points_cur,Points_prev,Differential,Cumulative
2425,Atalanta,1,2024-08-19,Lecce,A,W,0,4,3,3.0,0.0,0.0
2425,Atalanta,2,2024-08-25,Torino,A,L,2,1,0,0.0,0.0,0.0
2425,Atalanta,3,2024-08-30,Inter,A,L,4,0,0,0.0,0.0,0.0
2425,Atalanta,4,2024-09-15,Fiorentina,H,W,3,2,3,0.0,3.0,3.0
2425,Atalanta,5,2024-09-28,Bologna,A,D,1,1,1,0.0,1.0,4.0
2425,Atalanta,6,2024-10-05,Genoa,H,W,5,1,3,3.0,0.0,4.0
2425,Atalanta,7,2024-10-26,Verona,H,W,6,1,3,1.0,2.0,6.0
2425,Atalanta,8,2024-10-30,Monza,H,W,2,0,3,3.0,0.0,6.0
2425,Atalanta,9,2024-11-03,Napoli,A,W,0,3,3,3.0,0.0,6.0
2425,Atalanta,10,2024-11-10,Udinese,H,W,2,1,3,3.0,0.0,6.0
2425,Atalanta,11,2024-12-02,Roma,A,W,0,2,3,1.0,2.0,8.0
2425,Atalanta,12,2024-12-06,Milan,H,W,2,1,3,3.0,0.0,8.0
2425,Atalanta,13,2024-12-14,Cagliari,A,W,0,1,3,0.0,3.0,11.0
2425,Atalanta,14,2024-12-22,Empoli,H,W,3,2,3,3.0,0.0,11.0
2425,Atalanta,15,2024-12-28,Lazio,A,D,1,1,1,0.0,1.0,12.0
2425,Atalanta,16,2025-01-11,Udinese,A,D,0,0,1,1.0,0.0,12.0
2425,Atalanta,17,2025-01-14,Juventus,H,D,1,1,1,1.0,0.0,12.0
2425,Atalanta,18,2025-01-18,Napoli,H,L,2,3,0,0.0,0.0,12.0
2425,Atalanta,19,2025-02-01,Torino,H,D,1,1,1,3.0,-2.0,10.0
2425,Atalanta,20,2025-02-08,Verona,A,W,0,5,3,3.0,0.0,10.0
2425,Atalanta,21,2025-02-15,Cagliari,H,D,0,0,1,3.0,-2.0,8.0
2425,Atalanta,22,2025-02-23,Empoli,A,W,0,5,3,3.0,0.0,8.0
2425,Atalanta,23,2025-03-09,Juventus,A,W,0,4,3,1.0,2.0,10.0
2425,Atalanta,24,2025-03-16,Inter,H,L,0,2,0,0.0,0.0,10.0
2425,Atalanta,25,2025-03-30,Fiorentina,A,L,1,0,0,0.0,0.0,10.0
2425,Atalanta,26,2025-04-06,Lazio,H,L,0,1,0,3.0,-3.0,7.0
2425,Atalanta,27,2025-04-13,Bologna,H,W,2,0,3,0.0,3.0,10.0
2425,Atalanta,28,2025-04-20,Milan,A,W,0,1,3,1.0,2.0,12.0
2425,Atalanta,29,2025-04-27,Lecce,H,D,1,1,1,3.0,-2.0,10.0
2425,Atalanta,30,2025-05-04,Monza,A,W,0,4,3,3.0,0.0,10.0
2425,Atalanta,31,2025-05-12,Roma,H,W,2,1,3,3.0,0.0,10.0
2425,Atalanta,32,2025-05-17,Genoa,A,W,2,3,3,3.0,0.0,10.0
2425,Bologna,1,2024-08-18,Udinese,H,D,1,1,1,1.0,0.0,0.0
2425,Bologna,2,2024-08-25,Napoli,A,L,3,0,0,3.0,-3.0,-3.0
2425,Bologna,3,2024-08-31,Empoli,H,D,1,1,1,3.0,-2.0,-5.0
2425,Bologna,4,2024-09-22,Monza,A,W,1,2,3,1.0,2.0,-3.0
2425,Bologna,5,2024-09-28,Atalanta,H,D,1,1,1,3.0,-2.0,-5.0
2425,Bologna,6,2024-10-19,Genoa,A,D,2,2,1,0.0,1.0,-4.0
2425,Bologna,7,2024-10-29,Cagliari,A,W,0,2,3,0.0,3.0,-1.0
2425,Bologna,8,2024-11-02,Lecce,H,W,1,0,3,3.0,0.0,-1.0
2425,Bologna,9,2024-11-10,Roma,A,W,2,3,3,3.0,0.0,-1.0
2425,Bologna,10,2024-11-24,Lazio,A,L,3,0,0,3.0,-3.0,-4.0
2425,Bologna,11,2024-12-07,Juventus,A,D,2,2,1,1.0,0.0,-4.0
2425,Bologna,12,2024-12-15,Fiorentina,H,W,1,0,3,3.0,0.0,-4.0
2425,Bologna,13,2024-12-21,Torino,A,W,0,2,3,1.0,2.0,-2.0
2425,Bologna,14,2024-12-30,Verona,H,L,2,3,0,3.0,-3.0,-5.0
2425,Bologna,15,2025-01-12,Roma,H,D,2,2,1,3.0,-2.0,-7.0
2425,Bologna,16,2025-01-15,Inter,A,D,2,2,1,1.0,0.0,-7.0
2425,Bologna,17,2025-01-18,Monza,H,W,3,1,3,1.0,2.0,-5.0
2425,Bologna,18,2025-01-25,Empoli,A,D,1,1,1,3.0,-2.0,-7.0
2425,Bologna,19,2025-02-09,Lecce,A,D,0,0,1,1.0,0.0,-7.0
2425,Bologna,20,2025-02-14,Torino,H,W,3,2,3,3.0,0.0,-7.0
2425,Bologna,21,2025-02-27,Milan,H,W,2,1,3,0.0,3.0,-4.0
2425,Bologna,22,2025-03-02,Cagliari,H,W,2,1,3,3.0,0.0,-4.0
2425,Bologna,23,2025-03-09,Verona,A,W,1,2,3,1.0,2.0,-2.0
2425,Bologna,24,2025-03-16,Lazio,H,W,5,0,3,3.0,0.0,-2.0
2425,Bologna,25,2025-04-07,Napoli,H,D,1,1,1,1.0,0.0,-2.0
2425,Bologna,26,2025-04-13,Atalanta,A,L,2,0,0,3.0,-3.0,-5.0
2425,Bologna,27,2025-04-20,Inter,H,W,1,0,3,0.0,3.0,-2.0
2425,Bologna,28,2025-04-28,Udinese,A,D,0,0,1,0.0,1.0,-1.0
2425,Bologna,29,2025-05-04,Juventus,H,D,1,1,1,1.0,0.0,-1.0
2425,Bologna,30,2025-05-09,Milan,A,L,3,1,0,1.0,-1.0,-2.0
2425,Bologna,31,2025-05-18,Fiorentina,A,L,3,2,0,0.0,0.0,-2.0
2425,Bologna,32,2025-05-24,Genoa,H,L,1,3,0,1.0,-1.0,-3.0
2425,Cagliari,1,2024-08-18,Roma,H,D,0,0,1,0.0,1.0,1.0
2425,Cagliari,2,2024-08-31,Lecce,A,L,1,0,0,1.0,-1.0,0.0
2425,Cagliari,3,2024-09-15,Napoli,H,L,0,4,0,1.0,-1.0,-1.0
2425,Cagliari,4,2024-09-20,Empoli,H,L,0,2,0,1.0,-1.0,-2.0
2425,Cagliari,5,2024-10-06,Juventus,A,D,1,1,1,0.0,1.0,-1.0
2425,Cagliari,6,2024-10-20,Torino,H,W,3,2,3,0.0,3.0,2.0
2425,Cagliari,7,2024-10-25,Udinese,A,L,2,0,0,1.0,-1.0,1.0
2425,Cagliari,8,2024-10-29,Bologna,H,L,0,2,0,3.0,-3.0,-2.0
2425,Cagliari,9,2024-11-04,Lazio,A,L,2,1,0,0.0,0.0,-2.0
2425,Cagliari,10,2024-11-09,Milan,H,D,3,3,1,0.0,1.0,-1.0
2425,Cagliari,11,2024-11-24,Genoa,A,D,2,2,1,0.0,1.0,0.0
2425,Cagliari,12,2024-11-29,Verona,H,W,1,0,3,1.0,2.0,2.0
2425,Cagliari,13,2024-12-08,Fiorentina,A,L,1,0,0,0.0,0.0,2.0
2425,Cagliari,14,2024-12-14,Atalanta,H,L,0,1,0,3.0,-3.0,-1.0
2425,Cagliari,15,2024-12-28,Inter,H,L,0,3,0,0.0,0.0,-1.0
2425,Cagliari,16,2025-01-05,Monza,A,W,1,2,3,0.0,3.0,2.0
2425,Cagliari,17,2025-01-11,Milan,A,D,1,1,1,0.0,1.0,3.0
2425,Cagliari,18,2025-01-19,Lecce,H,W,4,1,3,1.0,2.0,5.0
2425,Cagliari,19,2025-01-24,Torino,A,L,2,0,0,1.0,-1.0,4.0
2425,Cagliari,20,2025-02-03,Lazio,H,L,1,2,0,0.0,0.0,4.0
2425,Cagliari,21,2025-02-15,Atalanta,A,D,0,0,1,0.0,1.0,5.0
2425,Cagliari,22,2025-02-23,Juventus,H,L,0,1,0,1.0,-1.0,4.0
2425,Cagliari,23,2025-03-02,Bologna,A,L,2,1,0,0.0,0.0,4.0
2425,Cagliari,24,2025-03-07,Genoa,H,D,1,1,1,3.0,-2.0,2.0
